member_casual,day_of_week,number_of_rides,avg_ride_length_minutes
casual,Friday,320077,22.5056832028439
casual,Monday,228253,22.331166469005886
casual,Saturday,414206,25.257422828174064
casual,Sunday,331783,26.13967183143802
casual,Thursday,258045,19.8382132956784
casual,Tuesday,225586,19.85785656674912
casual,Wednesday,221538,18.71594116885892
member,Friday,528989,12.277501175418267
member,Monday,502767,11.885839911827945
member,Saturday,450199,13.483976125928017
member,Sunday,382293,13.642906739507831
member,Thursday,576005,11.896963756072719
member,Tuesday,563070,11.952587190313816
member,Wednesday,550154,11.78462533626948
